led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
94.0741456853,499.778606942,94.4964547854,156.011208812,322.871229528,157.09210197,324.373899213,498.8238813,25,0.0449600219727
94.0835614281,499.792891555,94.5119606426,156.01291645,322.866532734,157.093818709,324.384494498,498.8198945,25,0.0849070549011
94.0930011981,499.785438611,94.5001044636,155.999388382,322.860697779,157.085487376,324.382254679,498.841802599,25,0.121923923492
94.0757269037,499.777289421,94.5039580192,156.011879954,322.880834474,157.090887616,324.398700502,498.825120745,25,0.161988019943
94.0815261671,499.789230361,94.5023597309,156.02040493,322.866868968,157.098290038,324.373669083,498.811544239,25,0.195457935333
94.0800503778,499.781722925,94.5292178795,156.023908142,322.866812223,157.083488527,324.389295107,498.827293983,25,0.230362892151
94.0853161014,499.784742449,94.5004464902,156.031741245,322.863419054,157.086587849,324.385233401,498.836866383,25,0.266683101654
94.0922272922,499.783629344,94.4960326548,156.006008271,322.85845528,157.067431413,324.382789082,498.83555705,25,0.302618980408
94.0868594866,499.774287694,94.4935489414,156.013222227,322.852143742,157.079451743,324.381904179,498.834997055,25,0.337445020676
94.0756902991,499.787276466,94.4971563382,156.012449762,322.853614611,157.058001791,324.368476774,498.849264754,25,0.371953964233
94.0827009592,499.777355935,94.4847779279,155.99559933,322.852625914,157.090702095,324.372525882,498.841308379,25,0.405648946762
94.078899575,499.788547953,94.4938825187,156.007885803,322.84649723,157.106295306,324.389831169,498.825057357,25,0.4678170681
94.0933685165,499.782952607,94.486474201,156.020606893,322.854383971,157.079335975,324.397088382,498.849730556,25,0.512831926346
94.0818621086,499.780750574,94.4964514276,156.014140383,322.868229387,157.085870812,324.372729887,498.832510465,25,0.566087961197
94.0793750195,499.789357216,94.4844925968,156.011488151,322.858762102,157.085910202,324.377226733,498.828799709,25,0.604279994965
94.0988369825,499.797279478,94.4944291477,156.020623612,322.859064886,157.078234574,324.386257156,498.835780845,25,0.638339996338
94.0793144337,499.781086858,94.5038227111,156.016731628,322.864077335,157.099774158,324.38347804,498.821992213,25,0.672586917877
94.0813717596,499.786587954,94.484042607,155.993784519,322.863051528,157.095677584,324.395438965,498.839179314,25,0.706526994705
94.0943474867,499.778240712,94.5033283183,156.019432459,322.862722255,157.074756387,324.390711775,498.816252229,25,0.746277093887
94.0748961921,499.786292204,94.4836251728,156.020133302,322.874463871,157.091078952,324.371348196,498.846601855,25,0.782072067261
94.0889299981,499.779925785,94.4993252043,156.004581197,322.87493746,157.079254007,324.388964647,498.816818968,25,0.818291902542
94.078605686,499.779199808,94.5040174167,156.026404496,322.844758976,157.086362742,324.358517077,498.827941493,25,0.853765964508
94.0931376985,499.775286228,94.5062640989,156.027095047,322.856489606,157.088842644,324.384774034,498.815814369,25,0.905049085617
94.0853410084,499.780071446,94.5076883952,156.008341867,322.863667991,157.062734272,324.397954779,498.816553757,25,0.96924996376
94.0931468078,499.775662219,94.5046770391,156.025640723,322.869130705,157.065141474,324.400712098,498.846318177,25,1.00488400459
94.0843801006,499.779175548,94.5052852341,156.010612615,322.847707255,157.083915142,324.381059557,498.815300629,25,1.05383992195
94.0862627085,499.77921302,94.5041403981,156.018327511,322.860047426,157.094121484,324.403968019,498.839823194,25,1.09228110313
94.0817210777,499.790953374,94.5053452292,156.001062814,322.856725197,157.092664206,324.396147026,498.839545105,25,1.12817287445
94.0841463643,499.771148168,94.4873579134,156.015950422,322.847543258,157.091036463,324.402729533,498.841113642,25,1.16319894791
94.1023851167,499.777461919,94.5043601591,156.011016203,322.842182988,157.098051224,324.39750483,498.832775065,25,1.20144200325
94.0709701085,499.771430578,94.507541581,156.006311454,322.879004817,157.07849329,324.393405152,498.827946471,25,1.23657989502
94.0851265167,499.783598901,94.4853027111,156.036576925,322.871725663,157.097150456,324.393628787,498.842241519,25,1.27154493332
94.0864921352,499.785274782,94.5022218629,156.012173922,322.853038419,157.081563453,324.387751743,498.83604025,25,1.30647587776
94.0780176146,499.781900163,94.4946351371,156.004685308,322.861740294,157.099690564,324.385231669,498.847080051,25,1.34139609337
94.0660310674,499.784057485,94.5055655018,156.013204277,322.86105504,157.094189621,324.398002676,498.840417593,25,1.40642499924
94.0742668865,499.772219613,94.5060373678,156.014751086,322.865120791,157.071623618,324.392956738,498.818564847,25,1.4548459053
94.0857954891,499.784225148,94.5128800057,156.029146826,322.855426695,157.093742131,324.388327884,498.834970173,25,1.49502706528
94.0743041591,499.777436984,94.4917998545,156.007630785,322.868732246,157.099926825,324.386911876,498.842226283,25,1.53025388718
94.0865280906,499.767923341,94.5049695728,156.023443987,322.853617984,157.078178145,324.399220348,498.832674964,25,1.56492495537
94.086460025,499.774383671,94.4968752896,156.004532473,322.873028848,157.091975015,324.382420803,498.825405007,25,1.59855604172
94.0900803921,499.77103917,94.4873668779,156.015885346,322.849968605,157.08906319,324.391685192,498.823458037,25,1.64858293533
94.0842842655,499.785516811,94.4914410513,156.019365906,322.877776666,157.084972182,324.37888967,498.834033538,25,1.68570995331
94.0812697769,499.785163593,94.500056417,156.010889317,322.84673212,157.063761233,324.388219166,498.829633525,25,1.72171902657
94.0759341314,499.799110693,94.4982158381,156.003546422,322.863276881,157.077594897,324.380118487,498.818786143,25,1.75527691841
94.0943997479,499.785877395,94.4848069996,156.002719501,322.845864046,157.079755162,324.388967039,498.829655776,25,1.7885799408
94.0887002141,499.779239565,94.4977781668,156.000144756,322.875933178,157.086924206,324.379810655,498.847392723,25,1.82240796089
94.085866022,499.787995009,94.5014225098,156.020961175,322.848431464,157.081455881,324.389695881,498.827153827,25,1.85860490799
94.0687184317,499.799737708,94.50094135,155.992920509,322.881681391,157.093076363,324.399440107,498.833088501,25,1.89322304726
94.0976341521,499.7781042,94.4825858915,156.010105876,322.852485476,157.084123544,324.387977582,498.844344834,25,1.92866802216
94.071993439,499.801557306,94.503720637,156.013543995,322.870145524,157.086707605,324.377239654,498.844543519,25,1.96363306046
94.085765646,499.763639286,94.5057737927,156.009239416,322.849383048,157.084131807,324.380805566,498.840462279,25,1.99727296829
94.0749912268,499.787728396,94.4936126088,156.006494283,322.876255439,157.080959096,324.395365666,498.839290305,25,2.03077793121
94.0866977629,499.776075629,94.5093225051,156.023820997,322.859877082,157.064183701,324.385247369,498.843306361,25,2.06466007233
94.0900248015,499.791782745,94.4989022358,156.013414122,322.858326619,157.074640848,324.391826541,498.84220259,25,2.10319900513
94.0742614153,499.795183709,94.4936921132,155.998853418,322.850723718,157.088417411,324.406837239,498.835196232,25,2.13849401474
94.0932085786,499.789307808,94.5035219211,156.026198918,322.861562136,157.095428763,324.394322431,498.838938786,25,2.17573094368
94.0979119502,499.788252438,94.4933028499,156.001294648,322.852480452,157.097411995,324.388027789,498.826457365,25,2.20947408676
94.0874850333,499.777989286,94.4990865173,156.024174877,322.851320112,157.088598598,324.378158094,498.830273215,25,2.27165102959
94.0902152508,499.781143011,94.4994568613,156.008003085,322.853653949,157.082818243,324.388644385,498.83843328,25,2.31131291389
94.0821523379,499.773969877,94.49711192,156.022296078,322.856836228,157.07613178,324.396616183,498.828923951,25,2.36198496819
94.0819960431,499.78076703,94.5028083925,156.005989103,322.866785065,157.067043701,324.394359259,498.843583054,25,2.39872002602
94.0789337882,499.771739181,94.4942112051,156.006278771,322.845341504,157.090468177,324.390949014,498.837654906,25,2.43231797218
94.0844201729,499.787849859,94.4891113281,156.015594693,322.857606903,157.080469704,324.393301451,498.839527161,25,2.46580696106
94.0815367593,499.770428665,94.4843378161,156.009497183,322.859409872,157.091694463,324.384247625,498.843037431,25,2.50574302673
94.086367049,499.765977639,94.500969415,156.015455052,322.848338642,157.08125818,324.380633914,498.825881582,25,2.55367708206
94.0730344961,499.779124004,94.5050188385,156.016637471,322.886744547,157.073366198,324.394067803,498.828320992,25,2.59016299248
94.0720205243,499.785448759,94.4948697459,156.013813581,322.865215555,157.074061878,324.382417827,498.830304569,25,2.62549996376
94.0970764431,499.775399376,94.4983418082,156.008916676,322.846393174,157.087656641,324.395697076,498.81701092,25,2.66024303436
94.0822519602,499.77807384,94.504039792,155.993026309,322.872927024,157.080472079,324.385090693,498.835286918,25,2.69606995583
94.0791456934,499.785731428,94.5051607975,156.009115109,322.858387815,157.086582115,324.388960753,498.853354676,25,2.73243904114
94.0687486753,499.792242261,94.5065012855,156.006173193,322.885459858,157.083080367,324.387226975,498.827660698,25,2.76840209961
94.0720129351,499.792399553,94.5057784587,156.012831478,322.849640676,157.085691335,324.384243245,498.841628313,25,2.80460500717
94.080458605,499.786831636,94.5000210328,156.011660562,322.858263589,157.090894827,324.394565111,498.832681235,25,2.84090209007
94.0890892015,499.783244253,94.4899227105,156.009529794,322.863576266,157.0766722,324.380206868,498.837018954,25,2.8752040863
