led1.x,led1.y,led2.x,led2.y,led3.x,led3.y,led4.x,led4.y,temperatura,tempo
99.5013333378,494.804632951,99.7631854412,164.684552562,318.826409272,165.769713084,320.584353979,494.130705116,25,6.110049963
99.4932872373,494.785226735,99.7675152692,164.680969447,318.835324086,165.749499435,320.600551378,494.137548569,25,6.19403791428
99.5281579305,494.790696544,99.749529646,164.673268606,318.837254527,165.781932127,320.555033724,494.138670604,25,6.2529759407
99.4874422558,494.79373376,99.7626157046,164.68500549,318.830312742,165.765192385,320.58977864,494.143751729,25,6.33073997498
99.5176428164,494.784217235,99.7557487473,164.676581793,318.849279564,165.761374012,320.591799173,494.122415277,25,6.40660500526
99.5130277548,494.773703509,99.746935876,164.680796945,318.863291351,165.773030596,320.580862101,494.144329897,25,6.47479104996
99.4960755819,494.775847751,99.7701244723,164.670724834,318.839138851,165.759341688,320.597792023,494.138881621,25,6.53055906296
99.5027134554,494.79764538,99.7530148216,164.688070824,318.846573168,165.767777186,320.583965498,494.12017251,25,6.58800601959
99.4918199433,494.786268491,99.7677716933,164.679513192,318.847071465,165.763106316,320.567557036,494.123538773,25,6.65167689323
99.4983021147,494.788956291,99.7498790078,164.680927983,318.843645642,165.773822588,320.556720796,494.127560528,25,6.71882605553
99.5037168177,494.784526839,99.7614422493,164.67450954,318.828216041,165.752433812,320.591844881,494.125871709,25,6.77220392227
99.5004920889,494.796055577,99.7596701666,164.686774647,318.838577677,165.7638899,320.578674447,494.135170414,25,6.82424688339
99.50835587,494.772075362,99.755824565,164.666290966,318.854467998,165.76491348,320.583762683,494.121267185,25,6.88001394272
99.4931377569,494.799237975,99.7517981295,164.683205579,318.848408718,165.770905178,320.582061338,494.132354407,25,6.9403488636
99.4794018394,494.780792673,99.7334768627,164.677778383,318.837576495,165.761177795,320.577189804,494.130451081,25,7.00699090958
99.4908240151,494.786653752,99.753877531,164.684170213,318.840615,165.757021964,320.587740619,494.12183026,25,7.06516289711
99.4850071164,494.794886247,99.7679204504,164.6828587,318.817883246,165.775134618,320.585339352,494.119449973,25,7.1425409317
99.484465043,494.794009286,99.7673038905,164.685422665,318.844284456,165.761928155,320.566537823,494.137039271,25,7.2066218853
99.494724278,494.792710916,99.7672397808,164.678411326,318.830817798,165.758819529,320.600978637,494.143023456,25,7.26481890678
99.5141930795,494.783828095,99.754687588,164.681858421,318.844998792,165.76781514,320.579236135,494.129939703,25,7.3171339035
99.5016510262,494.777502886,99.7459252663,164.67644215,318.840210108,165.760909089,320.580777619,494.143287004,25,7.37292003632
